author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
ОХОТНЫЙ РЯД офис Тверская;real_estate_agent;https://www.cian.ru/rent/flat/309116957/;Москва;rent;flat;12;14;1;38.0;20000;0;Крюково;Зеленоград;к1602;Зеленоград — Крюково
ID 93322113;homeowner;https://www.cian.ru/rent/flat/275930843/;Москва;rent;flat;1;17;1;39.3;24000;0;Крюково;Зеленоград;к1425;Зеленоград — Крюково
Евгения Милехина;realtor;https://www.cian.ru/rent/flat/295717036/;Москва;rent;flat;9;9;1;30.0;25000;0;;;15;Апрелевка
Михаил Солонников;realtor;https://www.cian.ru/rent/flat/156944459/;Москва;rent;flat;1;5;1;30.0;25000;0;;;6;Апрелевка
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/309240470/;Москва;rent;flat;1;4;1;29.0;25000;0;; Жемчужная;1к2;Филатов Луг
ID 25805627;realtor;https://www.cian.ru/rent/flat/308982063/;Москва;rent;flat;1;16;1;32.0;25000;0;Лианозово;Череповецкая ;4К2;Лианозово
ID 12392479;homeowner;https://www.cian.ru/rent/flat/309253326/;Москва;rent;flat;12;16;1;35.2;25000;0;Бирюлево Восточное;Липецкая ;10К2;Царицыно
ID 2997;realtor;https://www.cian.ru/rent/flat/282211831/;Москва;rent;flat;9;9;1;29.5;28000;0;;;17;Апрелевка
Людмила Карпухина;realtor;https://www.cian.ru/rent/flat/309124147/;Москва;rent;flat;2;5;1;33.0;28000;0;пос. Рогово; Юбилейная;21;
Николай Михайлов;realtor;https://www.cian.ru/rent/flat/308006343/;Москва;rent;flat;18;18;1;37.9;30000;0;Покровское-Стрешнево;бульвар Небесный;1к1;Спартак
Холдинг Профи;real_estate_agent;https://www.cian.ru/rent/flat/267590679/;Москва;rent;flat;4;24;1;30.0;30000;0;Хорошево-Мневники;Шелепихинская набережная;34С8;Шелепиха
ID 47184525;homeowner;https://www.cian.ru/rent/flat/309134884/;Москва;rent;flat;6;7;1;35.0;30000;0;Таганский;Нижегородская ;32С3;Калитники
АТН-Холдинг;real_estate_agent;https://www.cian.ru/rent/flat/309209307/;Москва;rent;flat;7;9;1;40.0;30000;0;Савёлки;Зеленоград;к301Б;Зеленоград — Крюково
ID 7782;realtor;https://www.cian.ru/rent/flat/308911230/;Москва;rent;flat;2;9;1;25.0;31000;0;Чертаново Центральное; Красного Маяка;19К1;Пражская
Андрей Шкот;realtor;https://www.cian.ru/rent/flat/303631745/;Москва;rent;flat;4;4;1;41.4;32000;0;;;;
ID 10559825;realtor;https://www.cian.ru/rent/flat/308711638/;Москва;rent;flat;3;9;1;39.0;32000;0;Матушкино;Зеленоград;к148;Зеленоград — Крюково
ID 83787697;unknown;https://www.cian.ru/rent/flat/308642112/;Москва;rent;flat;2;14;1;37.0;33000;0;Крюково;Зеленоград;к1624;Зеленоград — Крюково
Ольга  Голубкова;realtor;https://www.cian.ru/rent/flat/306366102/;Москва;rent;flat;5;18;1;25.0;33000;0;; Логинова;5к1;Щербинка
DAYCOME;real_estate_agent;https://www.cian.ru/rent/flat/191960575/;Москва;rent;flat;3;10;1;25.0;33000;0;Бирюлево Западное;Булатниковская ;3К4;Битца
ID 7028;realtor;https://www.cian.ru/rent/flat/308905221/;Москва;rent;flat;3;3;1;40.7;33000;0;; Генерала Донскова;29к5;Апрелевка
СТОЛИЦА. Москва и МО;real_estate_agent;https://www.cian.ru/rent/flat/308206697/;Москва;rent;flat;11;14;1;39.0;35000;0;Южное Бутово; Маршала Савицкого;18к2;Щербинка
ID 104511045;homeowner;https://www.cian.ru/rent/flat/308793026/;Москва;rent;flat;5;14;1;39.0;35000;0;Крюково;Зеленоград;к1624;Зеленоград — Крюково
ID 28990984;realtor;https://www.cian.ru/rent/flat/309128618/;Москва;rent;flat;1;5;1;17.1;35000;0;Южное Тушино;Химкинский бульвар;19К2;Сходненская
ID 794;realtor;https://www.cian.ru/rent/flat/164163838/;Москва;rent;flat;5;5;1;32.0;35000;0;;;21;Потапово
ID 8546;real_estate_agent;https://www.cian.ru/rent/flat/287933778/;Москва;rent;flat;6;17;1;40.0;35000;0;;проспект Нововатутинский;14;Ольховая
ГОРОД;real_estate_agent;https://www.cian.ru/rent/flat/309232912/;Москва;rent;flat;1;5;1;35.0;35000;0;Новогиреево;Новогиреевская ;46;Перово
ID 70869557;unknown;https://www.cian.ru/rent/flat/308986406/;Москва;rent;flat;4;14;1;38.0;35000;0;; Логинова;5к1;Щербинка
Эрна Аблязова;realtor;https://www.cian.ru/rent/flat/309196767/;Москва;rent;flat;9;12;1;35.0;35000;0;Головинский;Солнечногорская ;13;Моссельмаш
ID 1492;realtor;https://www.cian.ru/rent/flat/309206806/;Москва;rent;flat;5;5;1;40.0;35000;0;Кунцево; Ивана Франко;30К2;Рабочий посёлок
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/rent/flat/309165464/;Москва;rent;flat;3;5;1;23.1;35000;0;Можайский;Вяземская ;13;Сетунь
ID 66992708;unknown;https://www.cian.ru/rent/flat/309244794/;Москва;rent;flat;5;12;1;32.0;35000;0;Матушкино;Зеленоград;к158;Зеленоград — Крюково
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/309147691/;Москва;rent;flat;1;3;1;28.0;35000;0;Южное Бутово;Дачная ;6;Щербинка
Степан Лукьянов;realtor;https://www.cian.ru/rent/flat/308954847/;Москва;rent;flat;7;14;1;35.0;35000;0;Силино;Зеленоград;к1126;Зеленоград — Крюково
Реалист;real_estate_agent;https://www.cian.ru/rent/flat/306467768/;Москва;rent;flat;8;16;1;34.9;35000;0;; Дмитрия Кабалевского;18;Ватутинки
Анна Крапивина;realtor;https://www.cian.ru/rent/flat/300895139/;Москва;rent;flat;8;17;1;43.0;35000;0;Южное Бутово; Маршала Савицкого;16;Щербинка
Владимир Шпица;realtor;https://www.cian.ru/rent/flat/194804922/;Москва;rent;flat;2;3;1;37.0;36000;0;; Футбольная;4;Ольховая
ID 10825752;homeowner;https://www.cian.ru/rent/flat/280002311/;Москва;rent;flat;1;1;1;22.0;36000;0;;;5с1;Аэропорт Внуково
Самолет Плюс;real_estate_agent;https://www.cian.ru/rent/flat/309233290/;Москва;rent;flat;11;15;1;38.0;36000;0;; Мостовая;5к2;Ольховая
Анна Ожельская;realtor;https://www.cian.ru/rent/flat/303987256/;Москва;rent;flat;15;16;1;38.7;37000;0;Ярославский;Ярославское шоссе;114К2;ВДНХ
Игорь Белоусов;realtor;https://www.cian.ru/rent/flat/308860302/;Москва;rent;flat;7;9;1;35.0;37000;0;Гольяново;Байкальская ;43;Щёлковская
Максим Тарасов;realtor;https://www.cian.ru/rent/flat/288279832/;Москва;rent;flat;1;3;1;32.0;37000;0;; Заречная;4к2;Ольховая
ID 10559825;realtor;https://www.cian.ru/rent/flat/308571825/;Москва;rent;flat;3;14;1;43.0;37000;0;Крюково;проспект Георгиевский;33к6;Зеленоград — Крюково
